Match Day,Date,Rival_Country,GF,GA,GD,Result,Year
458,28-03-2017,Myanmar,1,0,1,Win,2017
459,06-06-2017,Nepal,2,0,2,Win,2017
460,13-06-2017,Kyrgyzstan,1,0,1,Win,2017
461,19-08-2017,Mauritius,2,1,1,Win,2017
462,24-08-2017,Saint Kitts and Nevis,1,1,0,Draw,2017
463,05-09-2017,Macau,2,0,2,Win,2017
464,10-10-2017,Macau,4,1,3,Win,2017
465,14-11-2017,Myanmar,2,2,0,Draw,2017
466,27-03-2018,Kyrgyzstan,1,2,-1,Lost,2018
467,01-06-2018,Chinese Taipei,5,0,5,Win,2018
468,04-06-2018,Kenya,3,0,3,Win,2018
469,07-06-2018,New Zealand,1,2,-1,Lost,2018
470,10-06-2018,Kenya,2,0,2,Win,2018
471,05-09-2018,Sri Lanka,2,0,2,Win,2018
472,09-09-2018,Maldives,2,0,2,Win,2018
473,12-09-2018,Pakistan,3,1,2,Win,2018
474,15-09-2018,Maldives,1,2,-1,Lost,2018
475,13-10-2018,China,0,0,0,Draw,2018
476,17-11-2018,Jordan,1,2,-1,Lost,2018
477,27-12-2018,Oman,0,0,0,Draw,2018
478,06-01-2019,Thailand,4,1,3,Win,2019
479,10-01-2019,UAE,0,2,-2,Lost,2019
480,14-01-2019,Bahrain,0,1,-1,Lost,2019
481,05-06-2019,Curacao,1,3,-2,Lost,2019
482,08-06-2019,Thailand,1,0,1,Win,2019
483,07-07-2019,Tajikistan,2,4,-2,Lost,2019
484,13-07-2019,North Korea,2,5,-3,Lost,2019
485,16-07-2019,Syria,1,1,0,Draw,2019
486,05-09-2019,Oman,1,2,-1,Lost,2019
487,10-09-2019,Qatar,0,0,0,Draw,2019
488,15-10-2019,Bangladesh,1,1,0,Draw,2019
489,14-11-2019,Afghanistan,1,1,0,Draw,2019
490,19-11-2019,Oman,0,1,-1,Lost,2019
491,25-03-2021,Oman,1,1,0,Draw,2021
492,29-03-2021,UAE,0,6,-6,Lost,2021
493,03-06-2021,Qatar,0,1,-1,Lost,2021
494,07-06-2021,Bangladesh,2,0,2,Win,2021
495,15-06-2021,Afghanistan,1,1,0,Draw,2021
496,02-09-2021,Nepal,1,1,0,Draw,2021
497,05-09-2021,Nepal,2,1,1,Win,2021
498,04-10-2021,Bangladesh,1,1,0,Draw,2021
499,07-10-2021,Sri Lanka,0,0,0,Draw,2021
500,10-10-2021,Nepal,1,0,1,Win,2021
501,13-10-2021,Maldives,3,1,2,Win,2021
502,16-10-2021,Nepal,3,0,3,Win,2021
503,23-03-2022,Bahrain,1,2,-1,Lost,2022
